Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
3,"Which phenomenon demonstrates the wave-particle duality of light?","Reflection","Refraction","Diffraction","Interference",D
3,"What does E=mc^2 represent?","The relationship between energy and mass","The law of universal gravitation","The speed of light","The conservation of momentum",A
3,"Which branch of chemistry deals with reaction rates?","Thermodynamics","Kinetics","Equilibrium","Electrochemistry",B
3,"What is Le Chatelier's principle?","It predicts how a change in conditions affects equilibrium","It describes fluid motion","It explains gas behavior under pressure","It determines reaction rates",A
3,"Which subatomic particle is most affected by the strong nuclear force?","Electron","Proton","Neutron","Positron",B
3,"What term describes a reaction that absorbs heat?","Exothermic","Endothermic","Isothermic","Thermogenic",B
3,"Which scientist introduced the concept of the quantum in 1900?","Albert Einstein","Max Planck","Niels Bohr","Erwin Schrödinger",B
3,"What is the difference between a catalyst and an enzyme?","Enzymes are biological catalysts","They are the same","Enzymes are inorganic catalysts","Catalysts are always proteins",A
3,"Which process in stars fuses hydrogen into helium?","Fission","Nucleosynthesis","Fusion","Radioactive decay",C
3,"What does the term 'isotope' mean?","Atoms with the same number of protons but different numbers of neutrons","Atoms with different numbers of protons","Different elements with the same mass","None of the above",A
3,"Which instrument is used to observe distant galaxies?","Microscope","Telescope","Spectrometer","Barometer",B
3,"What does redshift measure in astronomy?","The distance of celestial objects","The temperature of stars","The composition of planets","The brightness of stars",A
3,"Which particle is known as the 'God particle'?","Neutrino","Higgs boson","Electron","Photon",B
3,"What is the primary difference between fission and fusion?","Fission splits heavy atoms; fusion joins light atoms","Fission joins atoms; fusion splits atoms","Fission releases energy; fusion absorbs energy","They are the same",A
3,"Which branch of physics studies the behavior of very small particles?","Classical mechanics","Quantum mechanics","Thermodynamics","Relativity",B
3,"What is a quark?","A type of electron","A fundamental particle that makes up protons and neutrons","A molecule","A type of atom",B
3,"Which theory explains the expansion of the universe?","Steady State Theory","Big Bang Theory","Oscillating Universe Theory","Relativity Theory",B
3,"What is gravitational lensing?","Bending of light by gravity","Reflection of light","Refraction of light","Diffraction of light",A
3,"Which element is used as fuel in nuclear reactors?","Uranium-235","Plutonium-239","Thorium-232","All of the above",D
3,"What does a mass spectrometer measure?","Temperature","Mass-to-charge ratio of ions","Light intensity","Electrical conductivity",B
3,"What is the Bohr model of the atom?","A model describing electrons orbiting the nucleus in fixed paths","A model where electrons form a cloud around the nucleus","A model that describes atoms as solid spheres","A model of atomic fusion",A
3,"Which process produces elements heavier than iron in stars?","Fusion","Fission","Neutron capture","Radioactive decay",C
3,"What is the principle of superposition in quantum mechanics?","A particle can exist in multiple states at once until measured","Energy cannot be created or destroyed","Every action has an equal and opposite reaction","Objects in motion stay in motion",A
3,"Which law relates the force between two charges to the product of the charges and the distance between them?","Coulomb's Law","Newton's Law","Gauss's Law","Ohm's Law",A
3,"What is antimatter?","Matter with opposite charge","Regular matter","Particles that have decayed","A form of dark matter",A
3,"Which technology is based on the principle of nuclear magnetic resonance?","MRI","CT Scan","Ultrasound","X-Ray",A
3,"What is the function of a capacitor in an electronic circuit?","To store electrical energy","To amplify signals","To regulate current","To convert AC to DC",A
3,"What does the term 'band gap' refer to in semiconductors?","The energy difference between the valence and conduction bands","The gap between two atoms","The physical gap in a material","The temperature difference in a circuit",A
3,"Which phenomenon explains the formation of rainbows?","Reflection","Refraction","Diffraction","Scattering",B
3,"What is the primary cause of the Coriolis effect?","Earth's rotation","Earth's revolution","Magnetic fields","Atmospheric pressure",A
3,"Which branch of science studies the behavior and properties of matter and energy?","Biology","Chemistry","Physics","Geology",C
