Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
3,Who was the first President of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,B
3,What is the longest river in South America?,Orinoco,Paraná,Amazon,Madeira,C
3,Which natural resource is known as 'black gold'?,Gold,Coal,Oil,Natural Gas,C
3,Which country is known for the ancient martial art of Taekwondo?,China,Japan,South Korea,Thailand,C
3,Which famous scientist is known for his law of planetary motion?,Johannes Kepler,Galileo Galilei,Nicolaus Copernicus,Tycho Brahe,A
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,How many continents are there on Earth?,5,6,7,8,C
1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
1,What is the capital of France?,Berlin,Paris,Madrid,Lisbon,B
1,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which is the smallest prime number?,0,1,2,3,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
1,Which is the smallest prime number?,0,1,2,3,C
1,What is the capital of France?,Berlin,Paris,Madrid,Lisbon,B
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
1,Which is the smallest prime number?,0,1,2,3,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,How many continents are there on Earth?,5,6,7,8,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,What is the capital of France?,Berlin,Paris,Madrid,Lisbon,B
1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
1,How many continents are there on Earth?,5,6,7,8,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which is the smallest prime number?,0,1,2,3,C
1,Which is the smallest prime number?,0,1,2,3,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,How many continents are there on Earth?,5,6,7,8,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,How many continents are there on Earth?,5,6,7,8,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,How many continents are there on Earth?,5,6,7,8,C
1,Which is the smallest prime number?,0,1,2,3,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,How many continents are there on Earth?,5,6,7,8,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,Which is the smallest prime number?,0,1,2,3,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,How many continents are there on Earth?,5,6,7,8,C
1,How many continents are there on Earth?,5,6,7,8,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which is the smallest prime number?,0,1,2,3,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,What is the capital of France?,Berlin,Paris,Madrid,Lisbon,B
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
1,How many sides does a hexagon have?,5,6,7,8,B
1,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
1,How many sides does a hexagon have?,5,6,7,8,B
1,Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
1,Which is the smallest prime number?,0,1,2,3,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,What is the capital of France?,Berlin,Paris,Madrid,Lisbon,B
1,Which is the smallest prime number?,0,1,2,3,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,What is the boiling point of water in Celsius?,90°C,95°C,100°C,110°C,C
1,How many continents are there on Earth?,5,6,7,8,C
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which language has the most native speakers?,English,Hindi,Mandarin Chinese,Spanish,C
1,How many continents are there on Earth?,5,6,7,8,C
1,How many sides does a hexagon have?,5,6,7,8,B
1,Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Leopard,C
1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
1,What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
1,Which is the smallest prime number?,0,1,2,3,C
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,How many legs does a spider have?,6,8,10,12,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,How many legs does a spider have?,6,8,10,12,B
1,Which bird is the fastest in the world?,Eagle,Falcon,Sparrow,Parrot,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,How many legs does a spider have?,6,8,10,12,B
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which bird is the fastest in the world?,Eagle,Falcon,Sparrow,Parrot,B
1,How many legs does a spider have?,6,8,10,12,B
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,How many legs does a spider have?,6,8,10,12,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,How many legs does a spider have?,6,8,10,12,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,How many legs does a spider have?,6,8,10,12,B
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,How many legs does a spider have?,6,8,10,12,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,How many legs does a spider have?,6,8,10,12,B
1,How many legs does a spider have?,6,8,10,12,B
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,How many bones are there in the adult human body?,198,206,210,205,B
1,How many bones are there in the adult human body?,198,206,210,205,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,How many legs does a spider have?,6,8,10,12,B
1,What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Fuji,Mount Everest,K2,C
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,Which bird is the fastest in the world?,Eagle,Falcon,Sparrow,Parrot,B
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,How many legs does a spider have?,6,8,10,12,B
1,How many bones are there in the adult human body?,198,206,210,205,B
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,A
1,How many legs does a spider have?,6,8,10,12,B
1,Which bird is the fastest in the world?,Eagle,Falcon,Sparrow,Parrot,B
1,Which ocean is the largest?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,C
1,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
1,What is H2O commonly known as?,Hydrogen Peroxide,Water,Oxygen,Salt,B
1,Which day comes after Friday?,Wednesday,Saturday,Sunday,Thursday,B
1,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
