Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
2,"Which civilization is known for its elaborate hieroglyphic writing system?",Mayan,Egyptian,Inca,Aztec,B
2,"Who was the leader of the Bolshevik Revolution?",Leon Trotsky,Vladimir Lenin,Joseph Stalin,Nikita Khrushchev,B
2,"What was the primary cause of the War of the Roses in England?",Religious conflict,Dynastic disputes,Economic crisis,Colonial expansion,B
2,"Which treaty ended the Thirty Years' War?",Treaty of Versailles,Treaty of Westphalia,Treaty of Utrecht,Treaty of Tordesillas,B
2,"Which ancient civilization is known for its impressive ziggurats?",Sumerians,Persians,Assyrians,Elamites,A
2,"Which document declared the independence of the United States?",Declaration of Independence,Constitution,Bill of Rights,Emancipation Proclamation,A
2,"Which event is known as the 'War to End All Wars'?",World War I,World War II,Korean War,Vietnam War,A
2,"Which political ideology is associated with Karl Marx?",Capitalism,Socialism,Fascism,Anarchism,B
2,"Which country was known as the 'Sick Man of Europe' in the 19th century?",Russia,Ottoman Empire,Austria,Germany,B
2,"Who was the first female head of government in a Muslim-majority country?",Benazir Bhutto,Golda Meir,Sirimavo Bandaranaike,Indira Gandhi,A
2,"What was the primary purpose of the Berlin Airlift?",To supply food and fuel to West Berlin,To evacuate refugees,To transport troops,To conduct espionage,A
2,"Which civilization is credited with the invention of paper?",Egyptians,Chinese,Greeks,Romans,B
2,"Who was the leader of the Confederate States during the American Civil War?",Abraham Lincoln,Jefferson Davis,Ulysses S. Grant,Robert E. Lee,B
2,"Which event marked the end of the Cold War?",Fall of the Berlin Wall,Dissolution of the Soviet Union,Cuban Missile Crisis,End of the Vietnam War,B
2,"Which ancient text is considered the oldest religious scripture still in use today?",The Bible,The Quran,The Vedas,The Torah,C
2,"Who was the founder of the Ottoman Empire?",Osman I,Mehmed II,Suleiman the Magnificent,Bayezid I,A
2,"Which battle in 1812 marked a disastrous defeat for Napoleon's invasion of Russia?",Battle of Borodino,Battle of Leipzig,Battle of Waterloo,Battle of Austerlitz,A
2,"What was the primary goal of the Maastricht Treaty?",Establish a common currency,Promote military alliance,Eliminate all tariffs,Unify educational systems,A
2,"Which ancient empire is associated with the construction of aqueducts?",Roman Empire,Greek Empire,Persian Empire,Egyptian Empire,A
2,"Who was the leader of the Protestant Reformation in Germany?",Martin Luther,John Calvin,Huldrych Zwingli,Jan Hus,A
3,"Which ancient civilization used cuneiform writing?",Sumerians,Egyptians,Greeks,Chinese,A
3,"Who was the primary author of the Federalist Papers?",Thomas Jefferson,Alexander Hamilton,James Madison,John Jay,B
3,"Which battle in 1066 led to the Norman conquest of England?",Battle of Hastings,Battle of Stamford Bridge,Battle of Bannockburn,Battle of Agincourt,A
3,"What was the significance of the Edict of Milan in 313 AD?",It ended the persecution of Christians,It established the Roman Empire,It divided the Roman Empire,It initiated the Crusades,A
3,"Which medieval scholar wrote 'The Divine Comedy'?",Dante Alighieri,Geoffrey Chaucer,William Shakespeare,John Milton,A
3,"What triggered the fall of Constantinople in 1453?",Ottoman siege,Byzantine rebellion,Crusader invasion,Plague outbreak,A
3,"Which ancient philosopher was a student of Plato?",Aristotle,Socrates,Epicurus,Zeno,A
3,"Which treaty ended the Thirty Years' War and reshaped Europe?",Treaty of Westphalia,Treaty of Versailles,Treaty of Paris,Peace of Augsburg,A
3,"Which empire was known for its unique administrative 'Mandala' system?",Mughal Empire,Siamese Kingdom,Chola Dynasty,Inca Empire,B
3,"Who was the leader of the Haitian Revolution?",Toussaint L'Ouverture,Jean-Jacques Dessalines,Henri Christophe,Dutty Boukman,A
3,"Which philosopher's ideas influenced the French Revolution?",John Locke,Thomas Hobbes,Karl Marx,Max Weber,A
3,"What was the primary motivation behind the Crusades?",Economic gain,Religious fervor,Political power,Scientific exploration,B
3,"Which battle is considered a major turning point in the Napoleonic Wars?",Battle of Trafalgar,Battle of Waterloo,Battle of Austerlitz,Battle of Borodino,D
3,"Who was the founder of the Mughal Empire in India?",Akbar,Babur,Aurangzeb,Jahangir,B
3,"Which ancient civilization is known for constructing ziggurats?",Sumerians,Egyptians,Indus Valley,Chinese,A
3,"Which treaty ended the First World War?",Treaty of Brest-Litovsk,Treaty of Versailles,Treaty of Trianon,Treaty of Saint-Germain,B
3,"Who was the first emperor of the Qin Dynasty in China?",Liu Bang,Qin Shi Huang,Kublai Khan,Sun Yat-sen,B
3,"Which historical figure is known for the policy of 'Divide and Rule'?",Mahatma Gandhi,Lord Curzon,Cecil Rhodes,Winston Churchill,C
3,"Which ancient philosopher founded the Stoic school of thought?",Zeno of Citium,Epicurus,Socrates,Plato,A
3,"Which battle marked the decisive defeat of the Spanish Armada?",Battle of Gravelines,Battle of Lepanto,Battle of Trafalgar,Battle of Cape St. Vincent,A
3,"What was the primary cause of the decline of the Inca Empire?",Internal rebellion,Spanish conquest,Epidemics,Environmental disasters,B
3,"Who was the last monarch of France before the French Revolution?",Louis XIV,Louis XV,Louis XVI,Napoleon Bonaparte,C
3,"Which medieval scholar is best known for his work 'Summa Theologica'?",St. Augustine,St. Thomas Aquinas,St. Francis of Assisi,St. Benedict,B
3,"What was the primary economic system in feudal Europe?",Capitalism,Feudalism,Mercantilism,Socialism,B
3,"Which event ignited the Protestant Reformation?",Martin Luther's 95 Theses,Diet of Worms,Council of Trent,Peace of Augsburg,A
3,"Which ancient wonder was located in the city of Ephesus?",Hanging Gardens,Statue of Zeus at Olympia,Temple of Artemis,Lighthouse of Alexandria,C
3,"Which war is known as the 'War to End All Wars'?",World War I,World War II,Korean War,Vietnam War,A
3,"Which political ideology is associated with the writings of Karl Marx?",Capitalism,Socialism,Fascism,Anarchism,B
3,"Which country was known as the 'Sick Man of Europe' in the 19th century?",Russia,Ottoman Empire,Austria,Germany,B
3,"Who was the first female head of government in a Muslim-majority country?",Benazir Bhutto,Golda Meir,Sirimavo Bandaranaike,Indira Gandhi,A
3,"What was the primary purpose of the Berlin Airlift (1948–1949)?",To supply food and fuel to West Berlin,To evacuate refugees,To transport troops,To conduct espionage,A
3,"Which civilization is credited with inventing paper?",Egyptians,Chinese,Greeks,Romans,B
3,"Who was the leader of the Confederate States during the American Civil War?",Abraham Lincoln,Jefferson Davis,Ulysses S. Grant,Robert E. Lee,B
3,"Which event marked the end of the Cold War?",Fall of the Berlin Wall,Dissolution of the Soviet Union,Cuban Missile Crisis,End of the Vietnam War,B
3,"Which ancient text is considered the oldest religious scripture still in use today?",The Bible,The Quran,The Vedas,The Torah,C
3,"Who was the founder of the Ottoman Empire?",Osman I,Mehmed II,Suleiman the Magnificent,Bayezid I,A
3,"Which battle in 1812 marked a disastrous defeat for Napoleon's invasion of Russia?",Battle of Borodino,Battle of Leipzig,Battle of Waterloo,Battle of Austerlitz,A
3,"What was the primary goal of the Maastricht Treaty?",Establish a common currency,Promote military alliance,Eliminate all tariffs,Unify educational systems,A
3,"Which ancient empire is associated with the construction of aqueducts?",Roman Empire,Greek Empire,Persian Empire,Egyptian Empire,A
3,"Who was the leader of the Protestant Reformation in Germany?",Martin Luther,John Calvin,Huldrych Zwingli,Jan Hus,A
